6.26	1.771233
6.28	1.852075
6.3	2.004814
6.32	2.076457
6.34	2.14482
6.36	2.209833
6.38	2.27144
6.4	2.329595
6.42	2.466319
6.44	2.545833
6.46	2.622825
6.48	2.69732
6.5	2.769354
6.52	2.838969
6.54	2.906211
6.56	2.971137
6.58	3.033808
6.6	3.09429
6.62	2.717278
6.64	2.108463
6.66	1.96551
6.68	2.100611
6.7	2.160779
6.72	2.445468
6.74	2.307328
6.76	2.593623
6.78	2.420097
6.8	2.551535
6.82	2.685008
6.84	2.644428
6.86	2.770779
6.88	2.73316
6.9	2.818791
6.92	2.930802
6.94	2.929061
6.96	3.050371
6.98	3.069802
7	3.099125
7.02	3.183331
7.04	3.210607
7.06	3.294282
7.08	3.321997
7.1	3.405144
7.12	3.433737
7.14	3.51638
7.16	3.545897
7.18	3.678924
7.2	3.657879
7.22	3.766952
7.24	3.893068
7.26	3.87731
7.28	4.004148
7.3	3.989031
7.32	4.113296
7.34	4.101246
7.36	4.207247
7.38	4.217358
7.4	4.324039
7.42	4.335967
7.44	4.441714
7.46	4.455209
7.48	4.560055
7.5	4.575017
7.52	4.678988
7.54	4.695351
7.56	4.818313
7.58	4.892373
7.6	4.942551
7.62	5.016314
7.64	5.067234
7.66	5.140673
7.68	5.192121
7.7	5.265202
7.72	5.317083
7.74	5.419912
7.76	5.526282
7.78	5.635676
7.8	5.747616
7.82	5.861667
7.84	5.977431
7.86	6.094547
7.88	6.212687
7.9	6.331556
7.92	6.301221
7.94	6.185672
7.96	6.106898
7.98	6.072502
8	6.247362
8.02	6.232223
8.04	6.421687
8.06	6.365852
8.08	6.556619
8.1	6.494241
8.12	6.666998
8.14	6.625737
8.16	6.796237
8.18	6.758622
8.2	6.927126
8.22	7.059016
8.24	7.02704
8.26	7.191751
8.28	7.1624
8.3	7.291692
8.32	7.436414
8.34	7.425213
8.36	7.571058
8.38	7.551292
8.4	7.693513
8.42	7.67628
8.44	7.814569
8.46	7.800621
8.48	7.93472
8.5	7.87479
8.52	8.069741
8.54	8.026877
8.56	8.228233
8.58	8.368758
8.6	8.306794
8.62	8.506372
8.64	8.446453
8.66	8.644751
8.68	8.587438
8.7	8.784196
8.72	8.729484
8.74	8.923755
8.76	8.793793
8.78	8.787179
8.8	8.78036
8.82	8.773327
8.84	8.766074
8.86	8.758604
8.88	8.750922
8.9	8.743041
8.92	8.741879
8.94	8.760761
8.96	8.779175
8.98	8.796926
9	8.770794
9.02	8.771151
9.04	8.771406
9.06	8.771768
9.08	8.772382
9.1	8.772758
9.12	8.772001
9.14	8.771045
9.16	8.770156
9.18	8.769147
9.2	8.768212
9.22	8.767322
9.24	8.766541
9.26	8.765597
9.28	8.764789
9.3	8.763182
9.32	8.762457
9.34	8.76186
9.36	8.761092
9.38	8.76045
9.4	8.759959
9.42	8.759294
9.44	8.758765
9.46	8.758398
